k...2,k...5,k...10
127164.67628055435,121260.04720685746,118114.95680361043
137525.44971539977,124611.76773014184,120149.79732500571
121688.36829793562,117906.18841422068,119271.60593994646
119584.41108789033,119070.73414491763,117252.114358462
119863.36436963535,120463.37689613046,122297.81529555388
122406.73566993471,120464.88080099253,114029.51702951318
132281.9326015698,117819.12198041646,114071.58258352094
115490.18437979076,117074.62136476248,121285.4180867834
119697.17384688744,120703.886385463,122009.72943004132
133293.30741629697,120105.89157308896,119100.71202720655
124765.53740808625,119706.9411630274,121840.66283715522
117174.10552570809,125708.94048370312,116371.55388390164
125305.63955421928,120127.48304225158,115844.02208384906
123303.0404236016,117021.18054798568,119613.80544368578
120626.99660215215,121247.51494391925,121009.28396156602
112296.26728731568,114666.83056748264,118709.99582247285
134891.24322046066,117428.49828040993,115517.09544636743
128628.61071554605,115383.29159024128,119825.00963758098
130003.20652894664,120503.52592958696,114075.9947850511
124910.46819556458,115954.0584238939,121407.70673873392
114769.74871992171,126011.58791416093,115464.66704404075
126330.41988591623,120315.26985905504,117131.15043201655
130150.37817709695,114793.91551858604,120315.80545032099
121625.90687852415,126874.96606505505,118544.61958408426
136951.6233161118,119228.21993619876,117049.16063486984
121898.66218372583,117965.97498736062,117817.53998083058
121057.04010444233,116009.6125080215,120255.21347702078
124944.63657357919,119816.45978049269,119591.67253254863
118974.0832175017,119363.9856450114,116713.57177239275
120901.68403572016,116646.96817684967,116622.73075666731
